hotel,market_segment,distribution_channel,customer_type,lead_time_band,deposit_type,bookings,cancellations,realized_revenue,lost_revenue_estimate,room_nights_realized,adr,average_lead_time,repeat_guest_rate,average_special_requests,cancellation_rate,revenue_per_booking,segment_risk_score
City Hotel,Corporate,Corporate,Transient-Party,3-6 months,Non Refund,6,1,2014.0,318.0,19,106.0,149.0,0.0,0.0,0.16666666666666666,335.6666666666667,15.38
City Hotel,Online TA,GDS,Transient,1-3 months,No Deposit,40,9,7464.389999999999,3203.0,57,124.92075,46.075,0.0,0.35,0.225,186.60975,15.2
City Hotel,Corporate,Direct,Transient-Party,Same week,No Deposit,4,1,398.0,163.18,3,140.29500000000002,3.0,0.0,0.0,0.25,99.5,15.11
City Hotel,Groups,Direct,Transient,Same week,No Deposit,4,1,281.0,92.65,3,70.9125,2.0,0.25,0.0,0.25,70.25,15.07
Resort Hotel,Groups,Corporate,Transient-Party,6-12 months,No Deposit,223,13,58063.88,8868.0,951,61.24381165919283,312.8968609865471,0.0,0.053811659192825115,0.05829596412556054,260.3761434977578,14.88
Resort Hotel,Online TA,TA/TO,Transient-Party,3-6 months,No Deposit,301,49,149412.62,29067.95,1251,115.00285714285714,132.17275747508305,0.0,1.1827242524916943,0.16279069767441862,496.3874418604651,14.85
City Hotel,Direct,Direct,Transient,1-4 weeks,No Deposit,1078,226,297310.37,144455.98,2313,129.17976808905382,17.025974025974026,0.030612244897959183,0.6261595547309833,0.20964749536178107,275.7981168831169,14.75
Resort Hotel,Direct,TA/TO,Transient,3-6 months,No Deposit,12,2,10626.82,1606.29,55,144.86416666666665,117.91666666666667,0.8333333333333334,2.0,0.16666666666666666,885.5683333333333,14.27
City Hotel,Aviation,Corporate,Transient,1-4 weeks,No Deposit,40,9,22110.0,5541.0,221,100.65,11.525,0.2,0.075,0.225,552.75,13.98
City Hotel,Complementary,TA/TO,Transient-Party,12+ months,No Deposit,1,0,6.0,0.0,2,3.0,386.0,0.0,0.0,0.0,6.0,13.92
Resort Hotel,Groups,Corporate,Transient,12+ months,No Deposit,1,0,679.0,0.0,7,97.0,386.0,0.0,0.0,0.0,679.0,13.92
Resort Hotel,Groups,Direct,Transient-Party,12+ months,No Deposit,1,0,144.0,0.0,3,48.0,383.0,0.0,0.0,0.0,144.0,13.81
Resort Hotel,Groups,Direct,Transient-Party,3-6 months,No Deposit,123,18,32102.58,1537.85,307,98.80455284552845,128.21951219512195,0.008130081300813009,0.23577235772357724,0.14634146341463414,260.99658536585366,13.42
Resort Hotel,Groups,Direct,Transient,3-6 months,No Deposit,38,5,3518.0,236.0,71,46.28947368421053,153.07894736842104,0.0,0.18421052631578946,0.13157894736842105,92.57894736842105,13.42
City Hotel,Corporate,Corporate,Group,Same week,No Deposit,9,2,864.0,210.0,13,68.77777777777777,1.0,0.1111111111111111,0.0,0.2222222222222222,96.0,13.37
City Hotel,Aviation,Corporate,Transient,Same week,No Deposit,166,36,43421.36,10027.0,416,101.55228915662651,2.5843373493975905,0.2891566265060241,0.14457831325301204,0.21686746987951808,261.57445783132533,13.21
City Hotel,Groups,TA/TO,Transient,1-3 months,No Deposit,11,2,1864.0,358.95,24,87.48636363636363,57.45454545454545,0.0,0.18181818181818182,0.18181818181818182,169.45454545454547,12.99
Resort Hotel,Groups,Direct,Transient-Party,1-4 weeks,No Deposit,63,13,10194.8,2335.98,128,71.68666666666667,14.857142857142858,0.015873015873015872,0.0,0.20634920634920634,161.82222222222222,12.94
Resort Hotel,Direct,Direct,Transient,1-4 weeks,No Deposit,912,173,341316.27,85073.03,2542,123.21972587719299,17.49890350877193,0.03618421052631579,0.7105263157894737,0.18969298245614036,374.2502960526316,12.93
Resort Hotel,Online TA,Direct,Transient,3-6 months,No Deposit,15,2,6367.889999999999,369.0,62,94.67399999999999,135.53333333333333,0.5333333333333333,3.1333333333333333,0.13333333333333333,424.52599999999995,12.89
