arrival_year_month,distribution_channel,bookings,cancellation_rate,realized_revenue,average_lead_time
2016-09,Direct,574,0.18989547038327526,172472.66,104.11324041811847
2016-09,Corporate,240,0.13333333333333333,42482.19,54.108333333333334
2016-09,GDS,7,0.0,1315.0,3.7142857142857144
2016-10,TA/TO,4944,0.4641990291262136,821209.31,148.22471682847896
2016-10,Corporate,614,0.1742671009771987,107523.34,135.6156351791531
2016-10,Direct,613,0.16965742251223492,139321.41,77.81239804241436
2016-10,GDS,25,0.32,3987.79,21.32
2016-11,TA/TO,3574,0.4252937884722999,548999.86,102.1099608282037
2016-11,Direct,464,0.14439655172413793,83090.8,33.02801724137931
2016-11,Corporate,374,0.11229946524064172,48596.95,70.32352941176471
2016-11,GDS,22,0.22727272727272727,6413.89,34.90909090909091
2016-12,TA/TO,3118,0.4079538165490699,528422.15,101.17350865939704
2016-12,Direct,556,0.17985611510791366,113065.46,49.419064748201436
2016-12,Corporate,161,0.11801242236024845,11757.5,14.037267080745341
2016-12,GDS,11,0.36363636363636365,910.0,10.818181818181818
2017-01,TA/TO,2736,0.3896198830409357,404400.83,63.947002923976605
2017-01,Direct,602,0.09966777408637874,86811.89,24.269102990033222
2017-01,Corporate,314,0.37579617834394907,18177.18,16.678343949044585
2017-01,GDS,21,0.23809523809523808,2359.5,25.61904761904762
2017-02,TA/TO,3265,0.37519142419601836,542676.18,66.4229709035222
2017-02,Direct,623,0.14285714285714285,92954.22,18.60032102728732
2017-02,Corporate,265,0.16226415094339622,24947.22,23.433962264150942
2017-02,GDS,15,0.06666666666666667,2209.99,18.466666666666665
2017-03,TA/TO,3941,0.3732555189038315,732622.25,95.7891398122304
2017-03,Direct,598,0.2040133779264214,102046.54,35.919732441471574
2017-03,Corporate,400,0.1925,49556.68,26.9875
2017-03,GDS,10,0.1,1196.2,22.0
2017-04,TA/TO,4834,0.4743483657426562,976637.47,111.69114604882085
2017-04,Direct,589,0.14091680814940577,196125.9,63.49915110356537
2017-04,Corporate,227,0.36123348017621143,29365.73,35.21145374449339
2017-04,GDS,3,0.0,557.0,12.333333333333334
2017-05,TA/TO,5376,0.4724702380952381,1090138.29,130.24293154761904
2017-05,Direct,620,0.24838709677419354,179223.32,84.18064516129033
2017-05,Corporate,293,0.2150170648464164,48390.39,19.931740614334473
2017-05,GDS,16,0.3125,2969.0,36.3125
2017-06,TA/TO,4784,0.47345317725752506,1168650.57,149.38001672240802
2017-06,Direct,624,0.18269230769230768,238677.08,78.84935897435898
2017-06,Corporate,212,0.27358490566037735,25871.86,19.712264150943398
2017-06,GDS,19,0.05263157894736842,3539.0,10.789473684210526
2017-07,TA/TO,4455,0.4053872053872054,1425686.26,165.66801346801347
2017-07,Direct,722,0.18282548476454294,368250.07,99.44875346260388
2017-07,Corporate,133,0.3458646616541353,14158.19,20.165413533834588
2017-08,TA/TO,4181,0.39990432910786894,1541969.05,147.11958861516385
2017-08,Direct,673,0.20059435364041606,396208.02,92.65824665676077
2017-08,Corporate,65,0.07692307692307693,7537.0,15.184615384615384
2017-08,GDS,4,0.5,740.0,51.25
