country,market_segment,customer_type,bookings,cancellation_rate,realized_revenue,adr,average_lead_time,repeat_guest_rate,average_special_requests,average_total_nights,persona_cluster,persona_label,customer_value_score
ROU,Online TA,Transient,327,0.38837920489296635,102397.5,119.3897247706422,107.9571865443425,0.0,0.9174311926605505,4.458715596330276,0,Value-managed core guests,49.94
LUX,Online TA,Transient,199,0.5175879396984925,46845.24,137.13477386934673,98.61809045226131,0.010050251256281407,0.8944723618090452,3.748743718592965,0,Value-managed core guests,49.63
AGO,Direct,Transient,123,0.37398373983739835,29258.86,123.5978861788618,11.113821138211382,0.10569105691056911,0.34959349593495936,6.178861788617886,0,Value-managed core guests,49.63
CHN,Online TA,Transient,751,0.5978695073235686,78933.26,115.17256990679095,45.81757656458056,0.006657789613848202,0.6311584553928096,2.841544607190413,0,Value-managed core guests,49.55
ISR,Online TA,Transient,330,0.4909090909090909,54312.090000000004,132.85233333333332,84.1,0.0030303030303030303,0.9787878787878788,2.6151515151515152,0,Value-managed core guests,49.35
IRL,Offline TA/TO,Transient-Party,69,0.0,24231.57,61.01376811594203,129.3913043478261,0.0,0.4057971014492754,5.942028985507246,2,Long-lead cancellation watchlist,49.1
BRA,Online TA,Transient-Party,84,0.11904761904761904,22773.84,106.39535714285714,74.80952380952381,0.023809523809523808,0.7261904761904762,2.6904761904761907,0,Value-managed core guests,48.76
CHE,Offline TA/TO,Transient,117,0.017094017094017096,37845.04,79.25162393162394,89.98290598290598,0.0,0.29914529914529914,3.700854700854701,3,Premium reliable guests,48.46
IRL,Online TA,Transient-Party,144,0.2638888888888889,43641.69,87.45527777777778,162.81944444444446,0.006944444444444444,0.9722222222222222,4.916666666666667,2,Long-lead cancellation watchlist,48.29
FRA,Corporate,Transient,104,0.04807692307692308,16654.75,91.44528846153845,11.98076923076923,0.375,0.3076923076923077,1.7307692307692308,1,High-volume commercial demand,48.26
BRA,Offline TA/TO,Transient,67,0.0,19208.67,85.48611940298507,67.56716417910448,0.0,0.5074626865671642,3.373134328358209,3,Premium reliable guests,48.26
ESP,Corporate,Transient,104,0.019230769230769232,15090.87,91.4539423076923,9.923076923076923,0.25961538461538464,0.22115384615384615,1.5961538461538463,1,High-volume commercial demand,47.05
ISL,Offline TA/TO,Transient-Party,40,0.0,16800.0,105.0,191.225,0.0,0.075,4.0,3,Premium reliable guests,46.66
UNKNOWN,Online TA,Transient,66,0.0,18533.39,77.0580303030303,36.56060606060606,0.0,0.9393939393939394,2.6515151515151514,3,Premium reliable guests,46.63
NLD,Online TA,Contract,42,0.0,15985.18,112.39904761904762,29.571428571428573,0.0,1.1428571428571428,3.3333333333333335,0,Value-managed core guests,46.18
NLD,Groups,Transient-Party,73,0.0136986301369863,17353.9,58.276849315068496,96.54794520547945,0.0136986301369863,0.0136986301369863,4.534246575342466,3,Premium reliable guests,45.98
ITA,Direct,Transient-Party,44,0.022727272727272728,12870.6,105.43863636363636,58.25,0.22727272727272727,0.5227272727272727,2.840909090909091,1,High-volume commercial demand,45.59
ESP,Corporate,Transient-Party,47,0.0,6584.4,70.23191489361702,22.893617021276597,0.0851063829787234,0.19148936170212766,2.148936170212766,3,Premium reliable guests,43.99
ESP,Offline TA/TO,Contract,42,0.0,15486.85,96.80214285714285,31.88095238095238,0.0,0.6666666666666666,3.642857142857143,0,Value-managed core guests,43.48
AUT,Corporate,Transient-Party,47,0.0,16875.8,53.54468085106383,29.27659574468085,0.0,0.06382978723404255,7.361702127659575,2,Long-lead cancellation watchlist,42.44
SRB,Offline TA/TO,Transient-Party,69,0.0,14005.0,94.23188405797102,175.36231884057972,0.0,0.014492753623188406,2.1594202898550723,3,Premium reliable guests,42.3
BEL,Direct,Transient-Party,41,0.0,13963.44,94.33219512195122,143.21951219512195,0.0,0.4878048780487805,3.658536585365854,3,Premium reliable guests,42.11
IRL,Groups,Transient-Party,230,0.2826086956521739,55316.05,56.21786956521739,199.61304347826086,0.0,0.19130434782608696,5.613043478260869,2,Long-lead cancellation watchlist,41.88
CHN,Direct,Transient,51,0.0784313725490196,10810.15,109.13019607843138,9.666666666666666,0.058823529411764705,0.803921568627451,2.019607843137255,0,Value-managed core guests,40.9
BEL,Offline TA/TO,Transient-Party,40,0.0,12093.42,99.5385,186.075,0.0,0.625,3.075,3,Premium reliable guests,40.79
AGO,Online TA,Transient,196,0.7653061224489796,25324.42,120.05887755102042,34.734693877551024,0.025510204081632654,0.6071428571428571,10.096938775510203,2,Long-lead cancellation watchlist,40.45
AUT,Direct,Transient,46,0.043478260869565216,16278.78,118.51173913043478,43.71739130434783,0.0,0.41304347826086957,3.0,0,Value-managed core guests,40.42
PRT,Offline TA/TO,Contract,244,0.680327868852459,39443.98,85.04504098360657,161.29918032786884,0.02459016393442623,0.38934426229508196,7.536885245901639,2,Long-lead cancellation watchlist,40.37
NLD,Offline TA/TO,Transient-Party,53,0.018867924528301886,17580.66,88.2079245283019,103.45283018867924,0.0,0.22641509433962265,3.981132075471698,3,Premium reliable guests,40.28
IND,Online TA,Transient,113,0.2920353982300885,26078.16,119.2912389380531,49.35398230088496,0.0,0.9380530973451328,3.3008849557522124,0,Value-managed core guests,39.86
SWE,Online TA,Transient-Party,42,0.07142857142857142,15642.21,125.0957142857143,108.64285714285714,0.0,1.1428571428571428,3.3333333333333335,0,Value-managed core guests,39.44
