hotel,market_segment,distribution_channel,deposit_type,lead_time_band,bookings,cancellations,cancellation_rate,lost_revenue_estimate,average_lead_time,previous_cancellations,special_request_rate,risk_priority_score
Resort Hotel,Groups,TA/TO,Non Refund,3-6 months,384,346,0.9010416666666666,112657.55,140.58333333333334,1.6458333333333333,0.0026041666666666665,55.89
City Hotel,Corporate,Corporate,Non Refund,1-3 months,145,141,0.9724137931034482,17255.0,48.241379310344826,0.0,0.041379310344827586,55.32
City Hotel,Online TA,TA/TO,No Deposit,1-3 months,11721,4659,0.39749168159713333,1921590.3,57.255865540482894,0.008275744390410374,0.8770582714785428,53.73
City Hotel,Online TA,TA/TO,No Deposit,6-12 months,4865,2518,0.5175745118191162,1118485.59,234.68160328879753,0.018088386433710173,0.9621788283658788,53.57
Resort Hotel,Online TA,TA/TO,No Deposit,3-6 months,3801,1835,0.4827676927124441,1319319.75,131.93291239147592,0.009208103130755065,0.9665877400684031,51.44
City Hotel,Groups,TA/TO,No Deposit,6-12 months,1695,934,0.5510324483775811,175809.37,266.83598820058995,0.551622418879056,0.15398230088495576,41.74
City Hotel,Corporate,Corporate,No Deposit,3-6 months,103,70,0.6796116504854369,5994.0,105.35922330097087,0.8155339805825242,0.06796116504854369,40.9
Resort Hotel,Online TA,TA/TO,No Deposit,1-3 months,4675,1851,0.39593582887700535,1032990.92,56.927058823529414,0.002994652406417112,0.9398930481283423,39.76
City Hotel,Online TA,TA/TO,No Deposit,1-4 weeks,7615,2626,0.3448456992777413,1097776.74,18.036112934996716,0.020223243598161522,0.9114904793171372,36.69
Resort Hotel,Groups,Corporate,No Deposit,3-6 months,84,47,0.5595238095238095,14558.0,127.57142857142857,0.0,0.03571428571428571,35.15
Resort Hotel,Groups,TA/TO,No Deposit,12+ months,165,55,0.3333333333333333,8470.0,431.1272727272727,0.12121212121212122,0.2,32.5
Resort Hotel,Groups,TA/TO,No Deposit,6-12 months,1056,323,0.3058712121212121,95557.51,235.66287878787878,0.6003787878787878,0.0946969696969697,25.99
City Hotel,Offline TA/TO,TA/TO,No Deposit,12+ months,666,129,0.19369369369369369,29759.16,422.75825825825825,0.0,0.5960960960960962,24.88
Resort Hotel,Direct,Direct,No Deposit,6-12 months,463,127,0.27429805615550756,99691.52,234.88984881209504,0.032397408207343416,0.8142548596112311,24.29
Resort Hotel,Corporate,Corporate,No Deposit,1-3 months,375,148,0.39466666666666667,48590.2,50.38133333333333,0.005333333333333333,0.07733333333333334,24.11
Resort Hotel,Groups,TA/TO,No Deposit,1-3 months,401,148,0.3690773067331671,31682.0,62.399002493765586,0.07231920199501247,0.09476309226932668,22.83
Resort Hotel,Offline TA/TO,TA/TO,No Deposit,12+ months,68,12,0.17647058823529413,9766.25,397.19117647058823,0.0,0.5441176470588235,22.79
City Hotel,Groups,TA/TO,No Deposit,12+ months,280,38,0.1357142857142857,8966.02,435.1142857142857,0.0,0.8642857142857143,21.77
Resort Hotel,Offline TA/TO,TA/TO,No Deposit,6-12 months,1859,363,0.1952662721893491,200930.05,241.13232920925228,0.062399139322216246,0.5185583647122108,21.73
City Hotel,Direct,Direct,No Deposit,6-12 months,363,89,0.24517906336088155,32623.1,232.54820936639118,0.01928374655647383,0.6170798898071626,21.56
Resort Hotel,Groups,Corporate,No Deposit,12+ months,77,12,0.15584415584415584,2303.0,385.987012987013,0.0,0.11688311688311688,21.17
Resort Hotel,Online TA,TA/TO,No Deposit,1-4 weeks,3230,853,0.26408668730650153,385848.49,18.24860681114551,0.007430340557275541,0.9647058823529412,21.14
City Hotel,Offline TA/TO,TA/TO,No Deposit,6-12 months,2240,449,0.20044642857142858,113886.31,255.59732142857143,0.09553571428571428,0.31651785714285713,21.12
City Hotel,Offline TA/TO,TA/TO,No Deposit,3-6 months,2789,636,0.2280387235568304,188903.84,131.08425959125134,0.002151308712800287,0.2986733596271065,19.76
City Hotel,Groups,TA/TO,No Deposit,3-6 months,1303,350,0.2686108979278588,53788.81,125.43514965464313,0.0498848810437452,0.23254029163468917,19.7
Resort Hotel,Groups,TA/TO,No Deposit,1-4 weeks,267,85,0.31835205992509363,15211.15,17.337078651685392,0.0299625468164794,0.08239700374531835,18.31
Resort Hotel,Direct,Direct,No Deposit,3-6 months,797,156,0.19573400250941028,144998.07,135.17314930991216,0.018820577164366373,0.9071518193224593,17.43
City Hotel,Groups,Corporate,No Deposit,1-3 months,61,17,0.2786885245901639,4000.0,59.721311475409834,0.0,0.03278688524590164,17.33
Resort Hotel,Groups,TA/TO,No Deposit,3-6 months,524,114,0.21755725190839695,37252.0,128.94274809160305,0.0,0.11259541984732824,16.74
City Hotel,Direct,Direct,No Deposit,1-3 months,1224,273,0.22303921568627452,121606.86,57.55392156862745,0.027777777777777776,0.6503267973856209,16.04
City Hotel,Direct,Direct,No Deposit,3-6 months,992,184,0.18548387096774194,95662.74,131.67943548387098,0.0030241935483870967,0.7308467741935484,15.98
City Hotel,Groups,TA/TO,No Deposit,1-3 months,1659,375,0.22603978300180833,78968.47,56.379746835443036,0.0030138637733574444,0.189873417721519,15.5
Resort Hotel,Groups,Direct,No Deposit,6-12 months,357,36,0.10084033613445378,14282.91,284.1792717086835,0.01680672268907563,0.03361344537815126,15.02
City Hotel,Offline TA/TO,TA/TO,No Deposit,1-3 months,3411,645,0.18909410729991205,173027.7,56.18147170917619,0.0158311345646438,0.2260334212840809,14.93
Resort Hotel,Direct,Direct,No Deposit,1-3 months,1124,217,0.19306049822064056,152990.11,56.81049822064057,0.019572953736654804,0.7411032028469751,14.86
Resort Hotel,Offline TA/TO,TA/TO,No Deposit,3-6 months,2051,275,0.1340809361287177,185555.26,137.31984397854706,0.009751340809361287,0.48171623598244756,14.74
City Hotel,Groups,TA/TO,No Deposit,1-4 weeks,782,191,0.2442455242966752,41847.17,18.895140664961637,0.014066496163682864,0.11892583120204604,14.7
